"wage","female","age","educ","exper"
7.175000191,0,31,5,19
7.585227489,0,29,8,14
3.444444418,0,27,5,15
7.699999809,0,40,3,30
4.537499905,0,45,4,34
5.900000095,0,40,2,31
3.609375,0,26,3,16
4.537499905,0,31,2,22
16.74374962,0,46,6,33
8.34375,0,32,10,15
4.537499905,1,32,8,17
7.416666508,0,39,4,28
3.161458254,0,45,4,34
7.416666508,0,46,4,35
4.321428776,0,41,4,30
7.416666508,0,29,5,17
6.637499809,0,41,3,31
7.339743614,0,38,3,28
4.321428776,0,30,2,21
1.924999952,0,39,8,24
4.321428776,0,36,5,24
4.537499905,0,35,3,25
3.75,0,36,4,25
8.34375,0,31,4,20
3.78125,0,26,3,16
4.243750095,0,43,10,26
3.662499905,0,22,10,5
16.74374962,0,27,12,8
7.699999809,1,28,10,11
16.74374962,0,25,10,8
16.74374962,1,42,10,25
16.74374962,1,21,10,4
16.74374962,0,42,10,25
1.924999952,1,45,12,26
16.74374962,1,37,8,22
8.662500381,0,23,10,6
8.662500381,1,50,6,37
8.662500381,1,28,10,11
8.662500381,1,28,13,8
8.662500381,1,28,13,8
8.662500381,0,38,8,23
8.662500381,1,35,6,22
7.699999809,0,32,10,15
16.74374962,0,28,13,8
8.34375,0,47,10,30
8.34375,0,37,10,20
1.924999952,1,51,7,37
14.88333321,0,24,11,6
16.74374962,0,38,12,19
9.899999619,1,25,13,5
16.74374962,0,30,10,13
16.74374962,0,25,10,8
4.537499905,0,55,7,41
16.74374962,1,22,13,2
8.662500381,0,34,10,17
8.662500381,0,36,8,21
39.02500153,0,24,13,4
6.929999828,0,39,5,27
6.929999828,1,29,7,15
16.74374962,0,26,12,7
8.662500381,1,24,9,8
31.20624924,1,29,12,10
16.74374962,0,35,10,18
9.375,0,56,4,45
31.20624924,0,23,8,8
8.662500381,1,19,6,6
8.662500381,0,20,10,3
19.95624924,0,50,11,32
12.99374962,1,38,9,22
31.20624924,0,29,12,10
16.74374962,0,47,12,28
3.662499905,1,38,10,21
5.232142925,0,42,10,25
5.477777958,1,23,10,6
11.125,0,18,8,3
8.34375,1,36,10,19
9.786458015,0,44,10,27
6.861111164,1,40,6,27
23.70624924,0,38,10,21
18.70624924,0,32,8,17
1.924999952,0,42,10,25
4.321428776,1,33,7,19
8.662500381,0,30,13,10
7.71875,1,40,6,27
5.929999828,0,42,10,25
5.358333111,1,40,10,23
8.34375,0,20,6,7
8.34375,1,22,10,5
3.662499905,0,19,10,2
3.811111212,0,49,7,35
6.675000191,0,37,6,24
7.46875,0,42,6,29
6.861111164,1,40,6,27
7.71875,1,23,9,7
3.444444418,0,19,7,5
7.09375,1,56,9,40
7.699999809,0,34,10,17
16.74374962,0,40,10,23
11.125,0,20,8,5
8.34375,1,40,8,25
