"id","year","animal","place","state","numAttacks","Duration","Affected"
388,2017,"Squirrel","Island Park","ID",1,0,0
389,2017,"Raccoon","Sarnia","ON",1,270,2500
390,2017,"Squirrel","Moorehead","MN",1,87,39
391,2017,"unknown","Ferndale","WA",1,0,6
392,2017,"Squirrel","Moline","IL",1,0,0
393,2017,"unknown","Ellsworth","WI",1,0,1381
394,2017,"Squirrel","Statesville","NC",1,30,400
395,2017,"Cat","Faversham",NA,1,0,0
396,2017,"Bird","Kamloops","BC",1,0,3659
397,2017,"Raccoon","Evansville","IN",1,0,476
398,2017,"Squirrel","100 Mile House","BC",1,0,0
399,2017,"Snake","Lakeland","FL",1,0,0
400,2017,"Squirrel","Franklin","LA",1,0,0
401,2017,"Squirrel","Enid","OK",1,75,1287
402,2017,"Bird","Jakhau",NA,1,0,0
403,2017,"Snake","Williamson","TN",1,0,0
404,2017,"Bird","Leavening","North Yorkshire",1,0,1
405,2017,"Squirrel","Madison","AL",1,0,0
406,2017,"Squirrel","New Haven","IN",1,0,4200
407,2017,"Bird","Auburn","KY",1,0,0
408,2017,"Squirrel","Springfield","IL",1,0,0
409,2017,"Bird","Portishead","Somerset",1,0,0
410,2017,"Bird","Penticton","BC",1,0,0
411,2017,"Bird","Topeka","KS",1,0,4000
412,2017,"Squirrel","Dadeville","AL",1,0,0
413,2017,"Raccoon","Jersey City","NJ",1,93,2450
414,2017,"unknown","Palo Alto","CA",1,0,0
415,2017,"Bird","Kimberley","BC",1,90,5000
416,2017,"Squirrel","Urbana","MD",1,0,3000
417,2017,"Bird","Black Eagle","MT",1,0,0
418,2017,"Squirrel","Centralia","WA",1,0,0
419,2017,"Bird","Lodi","CA",1,31,4000
420,2017,"Bird","Port Augusta","SA",1,0,800
421,2017,"Squirrel","Wenatchee","WA",1,0,1000
422,2017,"Squirrel","Black Butte Ranch","OR",1,120,252
423,2017,"Bird","Luttelgeest",NA,1,1,0
424,2017,"Bird","Lake Placid","NY",1,0,0
425,2017,"unknwon","Coquitlam","BC",1,0,0
426,2017,"Bird","Lynnwood","WA",1,0,1551
427,2017,"unknown","Zaoqiao Township",NA,1,53,500
428,2017,"Squirrel","Weiser","ID",1,0,0
429,2017,"Squirrel","Casper","WY",1,6,323
430,2017,"Squirrel","Washington City","UT",1,0,0
431,2017,"Squirrel","Princeton","IL",1,0,0
432,2017,"unknown","Macomb","MI",1,0,0
433,2017,"Squirrel","Midland Park","NJ",1,91,850
434,2017,"Bat","Brisbane","QLD",1,0,0
435,2017,"Squirrel","Hazle Township","PA",1,0,0
436,2017,"Rat","London",NA,1,0,0
437,2017,"Bird","Moclips","WA",1,0,65
438,2017,"Squirrel","Burnaby","BC",1,0,0
439,2017,"Squirrel","Chatahoochee","FL",1,0,0
440,2017,"unknown","Rochester",NA,1,0,0
441,2017,"Rat","Styria",NA,1,0,0
442,2017,"Squirrel","Rochester","MN",1,0,0
443,2017,"Raccoon","Canonsburg","PA",1,0,700
444,2017,"Squirrel","Ft. Meade","FL",1,0,0
445,2017,"Bird","Ft. Meade","FL",1,0,0
446,2017,"Bird","Ft. Meade","FL",1,0,0
447,2017,"Squirrel","Kissimmee","FL",1,0,0
448,2017,"Bobcat","Cambria","CA",1,60,3530
449,2017,"Rat","Gardanne",NA,1,0,0
450,2017,"Cat","Ephrata","WA",1,0,0
451,2017,"Squirrel","Mill Creek","WA",1,0,0
452,2017,"Squirrel","Waterloo","IL",1,0,0
453,2017,"Bird","Virgina Beach","VA",1,0,7300
454,2017,"Snake","Green Valley","AZ",1,0,1770
455,2017,"Snake","Jonesboro","AR",1,0,2000
456,2017,"Bird","Bryan","TX",1,0,650
457,2017,"unknown","East Garafraxa","ON",1,0,0
458,2017,"Squirrel","Black Eagle","MT",1,0,0
459,2017,"Bird","Brawley","CA",1,0,0
460,2017,"Bird","Auburn","KY",1,0,2700
461,2017,"Lizard","Lake Worth","FL",1,0,1300
462,2017,"Bird","Snohomish","WA",1,0,0
463,2017,"Squirrel","Enid","OK",1,0,1900
464,2017,"Raccoon","Berlin",NA,1,0,0
465,2017,"Possum","Brisbane","QLD",1,0,0
466,2017,"Squirrel","Oklahoma City","OK",1,0,0
467,2017,"Squirrel","Prescott Valley","AZ",1,0,4600
468,2017,"Bird","Los Altos Hills","CA",1,58,2130
469,2017,"Raccoon","Cleveland","WI",1,75,1200
470,2017,"Squirrel","San Diego","CA",1,0,45000
471,2017,"Bird","Vernon","BC",1,0,2400
472,2017,"Bird","Maricopa","AZ",1,0,243
473,2017,"Bird","Karlstad",NA,1,18,9000
474,2017,"Bird","Ste. Genevieve.","MO",1,60,1195
475,2017,"unknown","Gahanna","OH",1,0,0
476,2017,"Squirrel","Urbana","MD",1,0,3000
477,2017,"Bird","Bella Vista","CA",1,0,1120
478,2017,"Squirrel","Wellfleet","MA",1,0,830
479,2017,"Snake","Jacksonville","FL",1,0,22000
480,2017,"Bird","Falmouth","MA",1,3600,8000
481,2017,"Rat","Chincilla","QLD",1,65,1850
482,2017,"Squirrel","Mitchell","SD",1,41,491
483,2017,"Squirrel","Medford","OR",1,0,1152
484,2017,"Bird","Corvallis","OR",1,0,13000
485,2017,"Snake","Ciumming","GA",1,0,9341
486,2017,"Snake","Loveland","CO",1,0,6500
487,2017,"Snake","Johnstown","GA",1,0,6500
488,2017,"Bird","Surrey","BC",1,0,6442
489,2017,"Bird","Eucha","VIC",1,90,1774
490,2017,"Baboon","Lusaka",NA,1,0,0
491,2017,"Squirrel","West Richland","WA",1,0,0
492,2017,"unknown","Youngstown","OH",1,0,300
493,2017,"Raccoon","Craig","CO",1,150,31
494,2017,"unknown","Oak Ridge","TN",1,0,0
495,2017,"unknown","Lynchburg","VA",1,0,76
496,2017,"Squirrel","Troy","AL",1,0,0
497,2017,"Squirrel","Janesville","WI",1,132,0
498,2017,"Bird","Valemount","BC",1,0,2500
499,2017,"unknown","Haggerstown","PA",1,90,1400
500,2017,"unknown","Hagerstown","MD",1,0,1400
501,2017,"Squirrel","Ft. Atkinson","WI",1,0,1300
502,2017,"Bird","Valemount","BC",1,0,900
503,2017,"Bird","Kamloops","BC",1,0,0
504,2017,"Bird","Rathfarnham",NA,1,0,0
505,2017,"Squirrel","Rome","GA",1,45,2000
506,2017,"Bobcat","Laklin","KS",1,0,0
507,2017,"Bird","Ravenna","NE",1,0,0
508,2017,"Bobcat","Lakin","KS",1,0,0
509,2017,"unknown","Minot","ND",1,40,5210
510,2017,"Rat","Esslingen",NA,1,86,2200
511,2017,"Squirrel","Turku",NA,1,0,700
512,2017,"Bird","Ahmedabad",NA,1,0,0
513,2017,"Squirrel","Moorehead","MN",1,0,700
514,2017,"Bird","Lunenburg","NS",1,0,5600
515,2017,"Raccoon","Ft. Wayne","IN",1,0,2300
516,2017,"Bird","Peoria","IL",1,0,0
517,2017,"Bird","Los Banos","CA",1,38,12000
518,2017,"Bird","Pincher Creek","AB",1,0,0
519,2017,"Bird","Hermiston","OR",1,0,2900
520,2017,"Squirrel","Upland","MI",1,110,1930
521,2017,"unknown","Summerside","PEI",1,0,700
522,2017,"Squirrel","Douglas","AK",1,0,0
523,2017,"unknown","Granville","OH",1,0,0
